fecha,dia,hora,minuto,open,high,low,fin,volume,symbol
2025-08-01,1,13,15,165.5804,165.8682,165.5655,165.6449,241120,JNJ
2025-08-01,1,13,30,165.6399,165.7888,165.5263,165.6052,179285,JNJ
2025-08-01,1,13,45,165.6026,165.9576,165.5704,165.8087,276685,JNJ
2025-08-01,1,14,0,165.8186,166.1561,165.7392,166.0568,251020,JNJ
2025-08-01,1,14,15,166.0519,166.1859,165.7888,166.0271,292806,JNJ
2025-08-01,1,14,30,166.0271,166.3050,165.9675,166.1660,295503,JNJ
2025-08-01,1,14,45,166.1462,166.3745,166.1313,166.2256,410525,JNJ
2025-08-01,1,15,0,166.2157,166.3745,165.8484,165.9824,356770,JNJ
2025-08-01,1,15,15,165.9874,166.0985,165.7600,166.0568,264150,JNJ
2025-08-01,1,15,30,166.0568,166.2852,165.9774,166.1462,499079,JNJ
2025-08-01,1,15,45,166.1462,166.3944,165.9974,166.0866,1056705,JNJ
2025-08-01,1,16,0,166.0866,166.4539,165.6598,166.2157,3656682,JNJ
2025-08-01,1,16,15,166.1065,166.1462,165.7027,166.0866,23227,JNJ
2025-08-01,1,16,30,166.0966,166.4527,165.8782,166.3547,77696,JNJ
2025-08-01,1,16,45,166.3447,166.3745,165.8782,166.1065,2471,JNJ
2025-08-01,1,17,0,166.3744,166.3744,165.8782,166.0966,178,JNJ
2025-08-01,1,17,15,166.3666,166.3666,165.7888,166.0668,2005,JNJ
2025-08-01,1,17,45,166.0966,166.1065,165.9377,165.9477,41,JNJ
2025-08-01,1,18,0,165.9377,166.1065,165.7888,165.8881,13125,JNJ
2025-08-01,1,18,15,166.0271,166.1065,165.8087,165.9477,141,JNJ
2025-08-01,1,18,30,166.1065,166.1065,165.8087,165.8087,1106441,JNJ
2025-08-01,1,18,45,165.9477,165.9477,165.9477,165.9477,3,JNJ
2025-08-01,1,19,0,166.1065,166.1065,165.9576,166.0966,1106434,JNJ
2025-08-01,1,19,15,166.0966,166.1065,165.8087,165.9874,10,JNJ
2025-08-01,1,19,30,165.8087,166.0271,165.8087,165.9874,147,JNJ
2025-08-01,1,19,45,165.9874,166.1065,165.8087,166.1065,12,JNJ
2025-08-01,1,4,0,762.0600,768.0300,762.0600,762.7100,25202,META
2025-08-01,1,4,15,762.9800,763.9400,761.0000,761.2600,16114,META
2025-08-01,1,4,30,761.4500,762.7700,760.2100,761.7100,19342,META
2025-08-01,1,4,45,761.9400,763.4100,761.5400,761.9600,8358,META
2025-08-01,1,5,0,761.9600,763.6300,761.7000,762.6000,6955,META
2025-08-01,1,5,15,762.5500,763.4300,761.7000,762.3100,8045,META
2025-08-01,1,5,30,762.7900,763.3000,762.0000,762.7900,3828,META
2025-08-01,1,5,45,763.0100,764.1700,762.7400,763.7800,4567,META
2025-08-01,1,6,0,763.7100,763.9000,763.0300,763.3500,4406,META
2025-08-01,1,6,15,763.4000,764.0000,763.0000,763.7400,5560,META
2025-08-01,1,6,30,763.5500,765.1200,763.2100,764.9500,11370,META
2025-08-01,1,6,45,764.9800,765.7100,762.7200,763.2500,11792,META
2025-08-01,1,7,0,763.9300,766.5000,763.2700,765.9000,22010,META
2025-08-01,1,7,15,765.8600,766.7400,765.2700,765.4200,6060,META
2025-08-01,1,7,30,765.5000,766.4800,765.1800,766.3900,11571,META
2025-08-01,1,7,45,766.0500,766.6800,765.6600,766.3700,9499,META
2025-08-01,1,8,0,765.8600,773.4400,760.2501,765.9200,107255,META
2025-08-01,1,8,15,766.0500,773.4400,765.2300,765.9000,13079,META
2025-08-01,1,8,30,765.6000,767.2400,764.3000,765.9200,45535,META
